timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6466624718531973e+18,-1464.0,6054.0,5367.0,frame_9583.jpeg
1.646662471905711e+18,-1513.0,6112.0,5323.0,frame_9584.jpeg
1.6466624719525158e+18,-1539.0,6122.0,5377.0,frame_9585.jpeg
1.6466624720057725e+18,-1585.0,6057.0,5394.0,frame_9586.jpeg
1.6466624720526026e+18,-1560.0,6089.0,5293.0,frame_9587.jpeg
1.6466624721063852e+18,-1619.0,6086.0,5312.0,frame_9588.jpeg
1.6466624721576602e+18,-1636.0,6030.0,5316.0,frame_9589.jpeg
1.6466624722084416e+18,-1724.0,6089.0,5498.0,frame_9590.jpeg
1.6466624722560975e+18,-1766.0,5848.0,5307.0,frame_9591.jpeg
1.6466624723022354e+18,-1773.0,5942.0,5254.0,frame_9592.jpeg
1.6466624723580803e+18,-1733.0,6033.0,5244.0,frame_9593.jpeg
1.6466624724027653e+18,-1656.0,6028.0,5396.0,frame_9594.jpeg
1.6466624724587238e+18,-1642.0,6064.0,5515.0,frame_9595.jpeg
1.646662472505887e+18,-1656.0,6070.0,5460.0,frame_9596.jpeg
1.6466624725561006e+18,-1645.0,6054.0,5336.0,frame_9597.jpeg
