timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.646388126218046e+18,914.0,-6914.0,4078.0,frame_12469.jpeg
1.6463881262721247e+18,1330.0,-7342.0,4454.0,frame_12470.jpeg
1.6463881263186248e+18,1798.0,-7004.0,4571.0,frame_12471.jpeg
1.6463881263721935e+18,2233.0,-6560.0,4806.0,frame_12472.jpeg
1.6463881264187574e+18,2305.0,-5387.0,5095.0,frame_12473.jpeg
1.6463881264774415e+18,1951.0,-5325.0,5237.0,frame_12474.jpeg
1.646388126518162e+18,1104.0,-5151.0,5595.0,frame_12475.jpeg
1.646388126567833e+18,736.0,-5444.0,5785.0,frame_12476.jpeg
1.6463881266182257e+18,740.0,-5690.0,6104.0,frame_12477.jpeg
1.646388126668596e+18,647.0,-5020.0,5862.0,frame_12478.jpeg
1.6463881267201795e+18,468.0,-4997.0,5478.0,frame_12479.jpeg
1.6463881267712238e+18,643.0,-5028.0,5687.0,frame_12480.jpeg
1.646388126820668e+18,1083.0,-5369.0,5780.0,frame_12481.jpeg
1.646388126873388e+18,1129.0,-5128.0,6025.0,frame_12482.jpeg
1.6463881269234043e+18,1359.0,-4964.0,6171.0,frame_12483.jpeg
1.6463881269667336e+18,1491.0,-5369.0,6065.0,frame_12484.jpeg
1.6463881269802388e+18,1532.0,-5484.0,6122.0,frame_12485.jpeg
1.6463881271367772e+18,1519.0,-5467.0,6232.0,frame_12486.jpeg
1.6463881271367772e+18,1519.0,-5467.0,6232.0,frame_12487.jpeg
1.646388127164541e+18,1559.0,-5225.0,6651.0,frame_12488.jpeg
1.6463881272064666e+18,1583.0,-5157.0,6636.0,frame_12489.jpeg
1.646388127274321e+18,1610.0,-5089.0,6612.0,frame_12490.jpeg
1.6463881273288512e+18,1681.0,-5026.0,6583.0,frame_12491.jpeg
1.6463881273698179e+18,1711.0,-5019.0,6565.0,frame_12492.jpeg
1.6463881274121134e+18,1729.0,-5023.0,6551.0,frame_12493.jpeg
1.6463881274663188e+18,1749.0,-5096.0,6512.0,frame_12494.jpeg
1.6463881275621437e+18,1756.0,-5160.0,6478.0,frame_12495.jpeg
1.6463881275621437e+18,1756.0,-5160.0,6478.0,frame_12496.jpeg
1.6463881275969782e+18,1772.0,-5224.0,6434.0,frame_12497.jpeg
1.6463881276705487e+18,1616.0,-5266.0,6325.0,frame_12498.jpeg
1.6463881277217155e+18,1512.0,-4768.0,6554.0,frame_12499.jpeg
1.6463875082478344e+18,-7890.0,-1194.0,2263.0,frame_125.jpeg
1.646388127762152e+18,1418.0,-5186.0,6423.0,frame_12500.jpeg
1.6463881278269606e+18,1438.0,-5179.0,6463.0,frame_12501.jpeg
1.6463881278711004e+18,1438.0,-5191.0,6479.0,frame_12502.jpeg
