timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.6449325039970947e+18,-1133.0,8307.0,1049.0,1
1.6449325040352438e+18,-1142.0,8126.0,1194.0,1
1.6449325040871122e+18,-1139.0,8257.0,1138.0,1
1.6449325041353265e+18,-1276.0,8145.0,1350.0,1
1.6449325041884526e+18,-1354.0,8210.0,1390.0,1
1.6449325042364964e+18,-1152.0,8106.0,1220.0,1
1.6449325042871542e+18,-1158.0,8180.0,1137.0,1
1.6449325043368172e+18,-1345.0,8263.0,1346.0,1
1.6449325043877553e+18,-1369.0,8076.0,1406.0,1
1.64493250443698e+18,-1225.0,8198.0,1355.0,1
1.6449325044890447e+18,-1327.0,8068.0,1156.0,1
1.6449325045333307e+18,-1371.0,8061.0,1229.0,1
1.6449325045835973e+18,-1220.0,8189.0,1091.0,1
1.6449325046356964e+18,-1292.0,8166.0,1272.0,1
1.6449325046874706e+18,-1224.0,8173.0,1304.0,1
1.6449325047358423e+18,-1235.0,8249.0,1339.0,1
1.644932504787939e+18,-1288.0,8259.0,1119.0,1
1.6449325048357036e+18,-1268.0,8156.0,1114.0,1
1.6449325048883123e+18,-1218.0,8247.0,1227.0,1
1.6449325049370908e+18,-1253.0,8271.0,1279.0,1
1.6449325049904548e+18,-1350.0,8190.0,1176.0,1
1.6449325050360177e+18,-1319.0,8225.0,1157.0,1
1.6449325050882524e+18,-1267.0,8164.0,1185.0,1
1.6449325051378012e+18,-1092.0,8129.0,1199.0,1
1.6449325051885087e+18,-1232.0,8276.0,1182.0,1
1.6449325052389e+18,-1368.0,8198.0,1242.0,1
1.6449325052867187e+18,-1339.0,8115.0,1142.0,1
1.6449325053358807e+18,-1211.0,8210.0,1296.0,1
1.6449325053720492e+18,-1191.0,8213.0,1288.0,1
1.6449325054155348e+18,-1161.0,8244.0,1267.0,1
1.6449325054789565e+18,-1138.0,8288.0,1247.0,1
1.6449325055434092e+18,-1109.0,8329.0,1240.0,1
1.6449325056269071e+18,-1103.0,8341.0,1223.0,1
1.644932505635249e+18,-1100.0,8360.0,1206.0,1
1.6449325056740544e+18,-1105.0,8341.0,1196.0,1
1.6449325057569257e+18,-1136.0,8262.0,1203.0,1
1.6449325057941583e+18,-1209.0,8142.0,1201.0,1
1.6449325058367027e+18,-1315.0,8053.0,1237.0,1
1.6449325058836634e+18,-1297.0,8114.0,1197.0,1
1.6449325059161864e+18,-1294.0,8114.0,1228.0,1
1.6449325059737393e+18,-1276.0,8274.0,1310.0,1
