timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.6461505945398246e+18,3712.0,-6034.0,3156.0,1
1.646150594569373e+18,3637.0,-5988.0,3271.0,1
1.6461505946408753e+18,3564.0,-6004.0,3384.0,1
1.6461505946981832e+18,3460.0,-6164.0,3658.0,1
1.646150594741797e+18,3384.0,-6395.0,3892.0,1
1.6461505948020255e+18,3448.0,-6502.0,3938.0,1
1.6461505948568348e+18,3535.0,-6062.0,4074.0,1
1.6461505949040924e+18,3812.0,-6213.0,3393.0,1
1.6461505949320612e+18,3886.0,-6253.0,3266.0,1
1.6461505950003108e+18,3753.0,-6387.0,3300.0,1
1.646150595057033e+18,3916.0,-6191.0,3643.0,1
1.6461505951029153e+18,3999.0,-6495.0,3243.0,1
1.6461505951533335e+18,3649.0,-6506.0,3143.0,1
1.6461505951951636e+18,3618.0,-6371.0,3266.0,1
1.6461505952319496e+18,3596.0,-6336.0,3296.0,1
1.6461505952929428e+18,3579.0,-6312.0,3309.0,1
1.6461505953340667e+18,3570.0,-6298.0,3310.0,1
1.6461505953813947e+18,3583.0,-6292.0,3299.0,1
1.6461505954669952e+18,3624.0,-6323.0,3321.0,1
1.6461505954669952e+18,3624.0,-6323.0,3321.0,1
1.6461505955425454e+18,3632.0,-6343.0,3362.0,1
1.6461505955847916e+18,3632.0,-6360.0,3421.0,1
1.646150595651296e+18,3625.0,-6398.0,3516.0,1
1.6461505957047724e+18,3811.0,-6756.0,3290.0,1
1.6461505957531284e+18,3895.0,-5936.0,3556.0,1
1.6461505958030285e+18,4069.0,-6441.0,3154.0,1
1.6461505958535073e+18,3908.0,-6092.0,3475.0,1
1.646150595890838e+18,3777.0,-6213.0,3277.0,1
1.6461505959521108e+18,3734.0,-6285.0,3255.0,1
1.646150595992268e+18,3693.0,-6373.0,3234.0,1
1.6461505960596818e+18,3629.0,-6553.0,3231.0,1
1.646150596093879e+18,3611.0,-6580.0,3249.0,1
1.6461505961606812e+18,3592.0,-6568.0,3292.0,1
1.646150596161335e+18,3575.0,-6541.0,3354.0,1
1.646150596252814e+18,3560.0,-6484.0,3491.0,1
1.6461505963038853e+18,4045.0,-6636.0,3113.0,1
1.6461505963533932e+18,3675.0,-6514.0,3363.0,1
1.6461505964041452e+18,3604.0,-6264.0,3705.0,1
1.6461505964602301e+18,3886.0,-6352.0,3553.0,1
1.646150596499163e+18,3823.0,-6146.0,3205.0,1
1.6461505965567834e+18,3868.0,-6310.0,3149.0,1
1.6461505966035372e+18,3947.0,-6317.0,3607.0,1
1.6461505966519767e+18,3721.0,-6372.0,3305.0,1
1.646150596704867e+18,3834.0,-6225.0,3627.0,1
1.646150596753327e+18,3966.0,-6145.0,3198.0,1
1.646150596804213e+18,3711.0,-6342.0,3545.0,1
1.646150596868048e+18,3639.0,-6199.0,3259.0,1
1.646150596904987e+18,4021.0,-6729.0,3211.0,1
1.6461505969511872e+18,3588.0,-5997.0,3515.0,1
1.6461505970043942e+18,4017.0,-6396.0,3713.0,1
1.64615059705742e+18,3980.0,-6202.0,3489.0,1
1.6461505971048333e+18,3717.0,-6814.0,3004.0,1
1.646150597156582e+18,3689.0,-6470.0,3054.0,1
1.6461505972110336e+18,3845.0,-6353.0,3299.0,1
1.646150597258105e+18,3950.0,-6274.0,3574.0,1
1.646150597311825e+18,3964.0,-6423.0,3412.0,1
1.6461505973540861e+18,3905.0,-6359.0,3390.0,1
1.6461505973945408e+18,3841.0,-6299.0,3395.0,1
1.6461505974699855e+18,3749.0,-6209.0,3403.0,1
