timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6461509524527537e+18,-6484.0,-3393.0,4168.0,1
1.6461509525012004e+18,-6374.0,-3499.0,4145.0,1
1.6461509525524797e+18,-6501.0,-3425.0,3981.0,1
1.646150952597906e+18,-6521.0,-3630.0,4033.0,1
1.6461509526527363e+18,-6476.0,-3682.0,4083.0,1
1.646150952701655e+18,-6563.0,-3121.0,3948.0,1
1.646150952752681e+18,-6489.0,-3990.0,4395.0,1
1.6461509528011686e+18,-6171.0,-3820.0,4309.0,1
1.6461509528511672e+18,-6347.0,-4097.0,3688.0,1
1.6461509529038766e+18,-6560.0,-3555.0,3929.0,1
1.646150952949093e+18,-6556.0,-3665.0,4275.0,1
1.6461509530010092e+18,-6387.0,-3737.0,4048.0,1
1.6461509530484398e+18,-6424.0,-3586.0,4115.0,1
1.6461509531012562e+18,-6455.0,-3009.0,4336.0,1
1.646150953153429e+18,-6513.0,-3683.0,4205.0,1
1.6461509532024005e+18,-6538.0,-3438.0,4199.0,1
1.6461509532493944e+18,-6145.0,-3745.0,4512.0,1
1.6461509533044646e+18,-6321.0,-3472.0,4807.0,1
1.6461509533515942e+18,-6239.0,-4990.0,3487.0,1
1.6461509533985738e+18,-6219.0,-3702.0,3725.0,1
1.6461509534525207e+18,-6249.0,-3612.0,4157.0,1
1.646150953506297e+18,-6554.0,-3602.0,4192.0,1
1.6461509535524664e+18,-6721.0,-3381.0,5198.0,1
1.646150953606072e+18,-6080.0,-4500.0,5574.0,1
1.646150953648091e+18,-5812.0,-3630.0,5521.0,1
1.6461509537011564e+18,-5498.0,-3582.0,2825.0,1
1.6461509537530609e+18,-5867.0,-3939.0,3790.0,1
1.6461509538036168e+18,-5903.0,-2800.0,5337.0,1
1.6461509538522445e+18,-6171.0,-2686.0,5873.0,1
1.6461509539060562e+18,-5995.0,-4511.0,5749.0,1
1.6461509539564142e+18,-6253.0,-2350.0,5813.0,1
1.6461509540046735e+18,-6922.0,-2380.0,4696.0,1
1.6461509540555676e+18,-7059.0,-2742.0,4956.0,1
1.646150954103588e+18,-6836.0,-3744.0,5882.0,1
1.6461509541508908e+18,-5705.0,-4455.0,5350.0,1
1.6461509542051658e+18,-4952.0,-5475.0,4892.0,1
1.6461509542477092e+18,-4163.0,-4951.0,4241.0,1
1.6461509543053412e+18,-3989.0,-3548.0,3466.0,1
1.6461509543526758e+18,-4712.0,-4197.0,3989.0,1
1.6461509544043528e+18,-4354.0,-5718.0,4104.0,1
1.646150954455168e+18,-4492.0,-5139.0,4452.0,1
1.6461509545013071e+18,-4689.0,-3694.0,5970.0,1
1.6461509545542405e+18,-5333.0,-5243.0,6061.0,1
1.646150954601636e+18,-5357.0,-4449.0,5466.0,1
1.6461509546550257e+18,-5014.0,-3671.0,4966.0,1
1.6461509547011715e+18,-4830.0,-5812.0,5087.0,1
1.646150954757281e+18,-5219.0,-4271.0,6346.0,1
1.64615095480076e+18,-4672.0,-3656.0,5712.0,1
1.6461509548551158e+18,-3953.0,-4704.0,4770.0,1
1.6461509549030377e+18,-3370.0,-5703.0,4707.0,1
1.646150954955642e+18,-4889.0,-3773.0,5741.0,1
1.6461509550014218e+18,-4922.0,-4283.0,6644.0,1
1.646150955056597e+18,-4605.0,-5618.0,5825.0,1
1.6461509551058452e+18,-4065.0,-2862.0,5384.0,1
1.646150955157131e+18,-4356.0,-6352.0,4793.0,1
1.6461509552054712e+18,-4358.0,-3861.0,5771.0,1
1.6461509552554616e+18,-4265.0,-3629.0,6179.0,1
1.6461509553047135e+18,-4090.0,-4776.0,5417.0,1
1.6461509553594609e+18,-4012.0,-4686.0,4523.0,1
1.6461509554042583e+18,-3779.0,-5687.0,4758.0,1
1.6461509554561398e+18,-4556.0,-4748.0,5600.0,1
1.646150955506261e+18,-4424.0,-4744.0,6805.0,1
1.6461509555557153e+18,-4390.0,-6055.0,5696.0,1
1.6461509556045752e+18,-4486.0,-3039.0,5187.0,1
1.6461509556588588e+18,-4436.0,-4706.0,6202.0,1
1.6461509557013926e+18,-4519.0,-4221.0,6336.0,1
1.646150955753573e+18,-4077.0,-5936.0,4646.0,1
1.646150955801137e+18,-3838.0,-3860.0,5871.0,1
1.6461509558533243e+18,-3962.0,-4841.0,5954.0,1
1.6461509559037176e+18,-3709.0,-5833.0,5048.0,1
1.6461509559550582e+18,-4280.0,-2892.0,6036.0,1
1.64615095600666e+18,-4303.0,-4062.0,6993.0,1
1.6461509560553193e+18,-4045.0,-4279.0,5827.0,1
1.6461509561172997e+18,-4086.0,-3940.0,5712.0,1
1.646150956159112e+18,-3992.0,-5234.0,6023.0,1
1.6461509562053059e+18,-3822.0,-4532.0,5618.0,1
1.6461509562533814e+18,-4088.0,-1930.0,6984.0,1
1.6461509563061263e+18,-3965.0,-7040.0,5749.0,1
1.646150956356361e+18,-3966.0,-4801.0,5180.0,1
1.6461509564060618e+18,-3955.0,-3838.0,6133.0,1
1.6461509564555085e+18,-3319.0,-3684.0,6052.0,1
1.6461509565049938e+18,-4073.0,-3604.0,7215.0,1
1.6461509565559954e+18,-4283.0,-3714.0,5419.0,1
1.6461509566052882e+18,-4356.0,-2204.0,6683.0,1
1.6461509566589796e+18,-3701.0,-5240.0,6691.0,1
1.646150956705685e+18,-4048.0,-3128.0,6516.0,1
1.6461509567531914e+18,-4841.0,-3204.0,6467.0,1
1.6461509568074606e+18,-3729.0,-3680.0,5587.0,1
1.646150956855678e+18,-4003.0,-3989.0,5927.0,1
1.646150956905039e+18,-3965.0,-5772.0,5782.0,1
1.6461509569535744e+18,-3910.0,-5012.0,5700.0,1
1.6461509570092739e+18,-3980.0,-4359.0,5624.0,1
1.646150957054964e+18,-4375.0,-5844.0,6470.0,1
1.646150957107313e+18,-4478.0,-4721.0,5925.0,1
1.646150957149455e+18,-3956.0,-5835.0,5611.0,1
1.6461509572039798e+18,-3624.0,-4517.0,6351.0,1
