timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.644932483132807e+18,-4997.0,-7716.0,-2292.0,1
1.6449324831569592e+18,-4206.0,-4736.0,-1354.0,1
1.644932483209927e+18,961.0,-7557.0,3308.0,1
1.6449324832605804e+18,646.0,-9436.0,2284.0,1
1.6449324833085814e+18,897.0,-8853.0,1683.0,1
1.644932483359323e+18,937.0,-7181.0,1500.0,1
1.6449324834060652e+18,345.0,-6432.0,1486.0,1
1.6449324834598973e+18,-2177.0,-8126.0,38.0,1
1.6449324834651745e+18,-2252.0,-8077.0,-196.0,1
1.6449324835936156e+18,-2261.0,-8072.0,-483.0,1
1.6449324836095086e+18,-2241.0,-9566.0,-1463.0,1
1.6449324836565435e+18,-707.0,-9109.0,-2558.0,1
1.6449324837098988e+18,-1513.0,-7446.0,-2315.0,1
1.6449324837588503e+18,-2729.0,-9297.0,-3987.0,1
1.6449324838003274e+18,-4219.0,-8009.0,-4032.0,1
1.6449324838696492e+18,-4206.0,-7794.0,-4014.0,1
1.6449324839100833e+18,-4168.0,-7014.0,-3484.0,1
1.6449324839765412e+18,-4114.0,-6785.0,-3382.0,1
1.6449324839765412e+18,-4114.0,-6785.0,-3382.0,1
1.6449324840735816e+18,-4032.0,-6549.0,-3273.0,1
1.6449324841100844e+18,-2792.0,-5321.0,-2227.0,1
1.6449324841589238e+18,2187.0,-5257.0,2239.0,1
1.6449324842097618e+18,917.0,-8340.0,1411.0,1
1.6449324842610511e+18,772.0,-5394.0,1891.0,1
1.6449324843142298e+18,-1026.0,-11777.0,3427.0,1
1.6449324843657528e+18,-2258.0,-9113.0,4850.0,1
1.6449324844099156e+18,-1938.0,-9899.0,2430.0,1
1.644932484462954e+18,-2512.0,-9236.0,-171.0,1
1.644932484510331e+18,-2958.0,-8962.0,487.0,1
1.6449324845629363e+18,-2468.0,-9738.0,10.0,1
1.6449324846099904e+18,-1858.0,-8442.0,22.0,1
1.6449324846630838e+18,-1281.0,-8468.0,1064.0,1
1.6449324847126561e+18,-2201.0,-9000.0,746.0,1
1.6449324847626895e+18,-3311.0,-9219.0,-821.0,1
1.6449324848146107e+18,-2623.0,-7437.0,-1380.0,1
1.6449324848429396e+18,-2229.0,-6715.0,-1122.0,1
1.6449324849012662e+18,-2184.0,-6511.0,-1045.0,1
1.6449324849624125e+18,-2184.0,-6318.0,-968.0,1
1.6449324849624125e+18,-2184.0,-6318.0,-968.0,1
1.644932485085556e+18,-2210.0,-6175.0,-918.0,1
1.644932485111638e+18,-2230.0,-6567.0,-585.0,1
1.644932485162949e+18,661.0,-8619.0,3776.0,1
1.6449324852099674e+18,-748.0,-5933.0,5277.0,1
1.6449324852645786e+18,-1076.0,-4883.0,4807.0,1
1.644932485309827e+18,-966.0,-5347.0,5134.0,1
1.644932485364007e+18,-1122.0,-4950.0,5152.0,1
1.6449324854118397e+18,-3568.0,-5336.0,7730.0,1
1.6449324854624387e+18,-3420.0,-8019.0,7086.0,1
1.6449324855103283e+18,-3986.0,-7088.0,6421.0,1
1.6449324855593418e+18,-2720.0,-8337.0,4853.0,1
1.6449324856098831e+18,-1047.0,-7388.0,2580.0,1
1.6449324856626033e+18,-547.0,-10212.0,-227.0,1
1.6449324857130107e+18,-400.0,-7136.0,-2147.0,1
1.644932485764851e+18,-1608.0,-4347.0,-990.0,1
1.6449324858118515e+18,-1393.0,-8137.0,1501.0,1
1.6449324858627894e+18,-1953.0,-7170.0,2248.0,1
1.6449324859168686e+18,-2179.0,-5132.0,5018.0,1
1.6449324859603018e+18,-1633.0,-7816.0,5374.0,1
1.6449324860186545e+18,-3164.0,-6799.0,6190.0,1
1.6449324860627628e+18,-2765.0,-5873.0,5951.0,1
1.6449324861169948e+18,-3844.0,-4069.0,6459.0,1
1.6449324861619725e+18,-3925.0,-5166.0,6264.0,1
1.644932486233637e+18,-4169.0,-4864.0,6517.0,1
1.6449324862622807e+18,-4280.0,-4694.0,6673.0,1
1.6449324863179868e+18,-4379.0,-4679.0,7869.0,1
1.6449324863626913e+18,-2599.0,-1752.0,7241.0,1
1.6449324864160205e+18,-3524.0,-1059.0,8908.0,1
1.6449324864646433e+18,-4687.0,-433.0,8601.0,1
1.644932486516324e+18,-4181.0,859.0,6402.0,1
1.64493248656506e+18,-4646.0,1959.0,7793.0,1
1.644932486613336e+18,-4364.0,958.0,6309.0,1
1.6449324866638264e+18,-5426.0,2016.0,6199.0,1
1.644932486713846e+18,-5945.0,3746.0,6171.0,1
1.644932486763056e+18,-5502.0,2171.0,4539.0,1
1.6449324868159613e+18,-5317.0,3465.0,4302.0,1
1.6449324868651807e+18,-5807.0,4836.0,5978.0,1
1.6449324869135094e+18,-3098.0,3990.0,4337.0,1
1.644932486966741e+18,-2450.0,3636.0,4340.0,1
1.6449324870156058e+18,-5024.0,4251.0,6286.0,1
1.6449324870634025e+18,-5784.0,4002.0,4875.0,1
1.6449324871127076e+18,-6124.0,2345.0,4999.0,1
1.644932487165699e+18,-5584.0,1526.0,5131.0,1
1.6449324872152159e+18,-5446.0,1714.0,5106.0,1
1.6449324872632412e+18,-4835.0,-864.0,8458.0,1
1.644932487315873e+18,-4049.0,-530.0,9395.0,1
1.6449324873599424e+18,-2339.0,-1122.0,8693.0,1
1.6449324874180355e+18,-1571.0,2441.0,9339.0,1
1.6449324874703206e+18,-1338.0,1171.0,9835.0,1
1.6449324875150956e+18,-2465.0,-2526.0,10485.0,1
1.6449324875563118e+18,-2743.0,-3826.0,9307.0,1
1.6449325008368627e+18,-2688.0,-7946.0,-4203.0,1
1.6449325008368627e+18,-2688.0,-7946.0,-4203.0,1
1.6449325009353247e+18,-2704.0,-8363.0,-3941.0,1
1.644932501001429e+18,-2622.0,-8719.0,-3293.0,1
1.6449325010312753e+18,-1132.0,-6875.0,-2605.0,1
1.6449325010673969e+18,418.0,-5620.0,-2764.0,1
1.6449325011329539e+18,1146.0,-5617.0,-2431.0,1
1.6449325011820577e+18,-1959.0,-7024.0,6087.0,1
1.6449325012324224e+18,-3752.0,-8244.0,7004.0,1
1.6449325012824407e+18,-3661.0,-7571.0,6855.0,1
1.6449325013332526e+18,-4996.0,-6688.0,6383.0,1
1.6449325013864474e+18,-5281.0,-8184.0,4670.0,1
1.6449325014332198e+18,-3687.0,-6120.0,3644.0,1
1.644932501481563e+18,-2928.0,-6034.0,2624.0,1
1.6449325015321172e+18,-416.0,-7424.0,1044.0,1
1.6449325015868772e+18,33.0,-6468.0,679.0,1
1.644932501628462e+18,110.0,-6243.0,699.0,1
1.6449325016801613e+18,187.0,-6060.0,743.0,1
1.6449325017205422e+18,260.0,-5901.0,829.0,1
1.6449325017821926e+18,267.0,-8020.0,1543.0,1
1.6449325018335946e+18,161.0,-8864.0,1778.0,1
1.6449325018964695e+18,37.0,-9426.0,2109.0,1
1.644932501929957e+18,-100.0,-9602.0,2352.0,1
1.6449325019948813e+18,-259.0,-9818.0,2574.0,1
1.6449325020347674e+18,-905.0,-8984.0,-718.0,1
1.6449325020791434e+18,-2131.0,-10061.0,2661.0,1
1.64493250213397e+18,-2310.0,-8270.0,3510.0,1
1.644932502181762e+18,-2039.0,-5051.0,5815.0,1
1.6449325022364524e+18,-3281.0,-4039.0,7109.0,1
1.6449325022830922e+18,-4430.0,-5469.0,7753.0,1
1.6449325023328822e+18,-6209.0,-3315.0,8269.0,1
1.644932502381514e+18,-6183.0,-3484.0,6434.0,1
1.6449325024206193e+18,-5828.0,-4314.0,5274.0,1
1.6449325024573322e+18,-5708.0,-4476.0,5171.0,1
1.6449325025354496e+18,-5059.0,-4226.0,4391.0,1
1.6449325025807578e+18,-732.0,-6503.0,616.0,1
1.6449325026370394e+18,2132.0,-3771.0,-1689.0,1
1.6449325026751972e+18,1549.0,-4181.0,-26.0,1
1.6449325027629489e+18,1212.0,-4406.0,79.0,1
1.6449325027881295e+18,941.0,-4724.0,76.0,1
1.6449325028341414e+18,1138.0,-8769.0,1431.0,1
1.6449325028828541e+18,-538.0,-8727.0,749.0,1
1.6449325029401083e+18,-590.0,-4891.0,1870.0,1
1.644932502980112e+18,-1410.0,-5151.0,1841.0,1
1.6449325030626877e+18,-1422.0,-5783.0,1525.0,1
1.6449325030828508e+18,-868.0,-10458.0,1050.0,1
1.6449325031337277e+18,6.0,-10956.0,1590.0,1
1.644932503179466e+18,-4136.0,-9425.0,6990.0,1
1.644932503233901e+18,-4555.0,-7979.0,7370.0,1
1.6449325032852078e+18,-4817.0,-5182.0,5842.0,1
1.6449325033245384e+18,-5357.0,-5291.0,5613.0,1
1.6449325033641454e+18,-5463.0,-5315.0,5604.0,1
1.6449325034240924e+18,-5540.0,-5293.0,5599.0,1
1.6449325034831076e+18,-4497.0,-6594.0,4001.0,1
1.6449325035361295e+18,-484.0,-5841.0,252.0,1
1.6449325035911785e+18,1654.0,-7202.0,1201.0,1
1.6449325036269606e+18,1594.0,-7102.0,741.0,1
1.6449325036755348e+18,1536.0,-7073.0,842.0,1
1.6449325037189745e+18,1495.0,-7013.0,978.0,1
1.644932503779886e+18,1464.0,-6914.0,1160.0,1
1.6449325038482836e+18,1407.0,-6624.0,1567.0,1
1.6449325038848722e+18,1498.0,-5933.0,2321.0,1
1.644932503940152e+18,437.0,-9881.0,1216.0,1
1.6449325039875487e+18,-417.0,-5204.0,-1081.0,1
1.6449325040345567e+18,217.0,-6783.0,1035.0,1
1.6449325040855808e+18,716.0,-7439.0,1075.0,1
1.6449325041360458e+18,-3749.0,-8182.0,5364.0,1
1.6449325041853117e+18,-4418.0,-14659.0,5037.0,1
1.6449325042323197e+18,-3239.0,-7171.0,6326.0,1
1.6449325042861192e+18,-2915.0,-4019.0,4916.0,1
1.6449325043341414e+18,-3501.0,-7437.0,6439.0,1
1.6449325043854075e+18,-3912.0,-7935.0,3438.0,1
1.6449325044479168e+18,-3733.0,-7113.0,3361.0,1
1.644932504508255e+18,-3795.0,-7120.0,3613.0,1
1.6449325045498335e+18,-3870.0,-7157.0,3893.0,1
1.6449325045868554e+18,-4368.0,-6494.0,1362.0,1
1.6449325046336883e+18,-577.0,-8746.0,2496.0,1
1.644932504686502e+18,1117.0,-4112.0,2035.0,1
1.6449325047225452e+18,1888.0,-6393.0,2213.0,1
1.6449325047965048e+18,2071.0,-6805.0,2215.0,1
1.6449325048368676e+18,2448.0,-7493.0,2140.0,1
1.6449325048911437e+18,2264.0,-7597.0,1390.0,1
1.6449325049365484e+18,812.0,-4119.0,2820.0,1
1.6449325050143199e+18,529.0,-5387.0,3743.0,1
1.6449325050507845e+18,499.0,-5977.0,3783.0,1
1.6449325050922547e+18,362.0,-8832.0,3659.0,1
1.6449325051408643e+18,921.0,-9289.0,2516.0,1
1.6449325051895923e+18,1293.0,-7355.0,1353.0,1
1.644932505239051e+18,-2472.0,-3464.0,404.0,1
