timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.6450220271302228e+18,1601.0,5802.0,87.0,1
1.6450220271581727e+18,1380.0,6129.0,-396.0,1
1.645022027225581e+18,1242.0,5925.0,-333.0,1
1.6450220272751616e+18,-903.0,9284.0,-1347.0,1
1.6450220273272543e+18,-1070.0,8828.0,-980.0,1
1.6450220273756818e+18,-1256.0,10381.0,-1264.0,1
1.6450220274313103e+18,-667.0,10161.0,320.0,1
1.6450220274744794e+18,-6.0,10924.0,676.0,1
1.6450220275269673e+18,1304.0,10408.0,1835.0,1
1.6450220275785364e+18,2205.0,9520.0,2081.0,1
1.6450220276316022e+18,2264.0,8251.0,1588.0,1
1.645022027677066e+18,2474.0,7683.0,744.0,1
1.6450220277316918e+18,2304.0,7242.0,269.0,1
1.6450220277787804e+18,1628.0,7841.0,-346.0,1
1.6450220278270108e+18,1848.0,7565.0,-293.0,1
1.645022027876605e+18,1842.0,5881.0,-167.0,1
1.6450220279300204e+18,1205.0,5501.0,-599.0,1
1.6450220279743775e+18,-73.0,6701.0,-481.0,1
1.6450220280269074e+18,-783.0,8628.0,-908.0,1
1.645022028083463e+18,-1997.0,10360.0,-137.0,1
1.6450220281273864e+18,-1512.0,11555.0,388.0,1
1.6450220281843866e+18,97.0,9675.0,1088.0,1
1.6450220282248228e+18,667.0,9758.0,1749.0,1
1.645022028276545e+18,1845.0,9648.0,1530.0,1
1.6450220283293425e+18,2356.0,9299.0,2159.0,1
1.6450220283851756e+18,2395.0,9307.0,877.0,1
1.645022028429812e+18,2526.0,8929.0,632.0,1
1.645022028479138e+18,2502.0,7225.0,412.0,1
1.6450220285275535e+18,1963.0,6299.0,-282.0,1
1.6450220285766892e+18,1481.0,7822.0,-896.0,1
1.6450220286303547e+18,1515.0,5859.0,-274.0,1
1.645022028679333e+18,1624.0,5606.0,311.0,1
1.6450220287274962e+18,920.0,7477.0,-137.0,1
1.6450220287814774e+18,-670.0,8530.0,-289.0,1
1.6450220288266819e+18,-1212.0,9957.0,-414.0,1
1.6450220288779405e+18,-1750.0,9230.0,342.0,1
1.6450220289273943e+18,-1600.0,10684.0,1133.0,1
1.64502202898245e+18,144.0,10117.0,1484.0,1
1.6450220290275482e+18,1239.0,9684.0,1621.0,1
1.645022029082933e+18,1897.0,9639.0,2140.0,1
1.6450220291277596e+18,1929.0,9399.0,1079.0,1
1.645022029182087e+18,2179.0,9231.0,61.0,1
1.6450220292314903e+18,2191.0,8398.0,686.0,1
1.6450220292784955e+18,2231.0,8267.0,287.0,1
1.645022029327916e+18,2260.0,6692.0,68.0,1
1.6450220293791142e+18,2042.0,6600.0,-262.0,1
1.6450220294296622e+18,1669.0,5004.0,1137.0,1
1.645022029466138e+18,1411.0,6652.0,800.0,1
1.6450220295280568e+18,424.0,7097.0,-591.0,1
1.6450220295792225e+18,-1084.0,9017.0,-499.0,1
1.6450220296275356e+18,-1429.0,9873.0,138.0,1
1.6450220296813542e+18,-956.0,10298.0,-425.0,1
1.645022029731565e+18,-660.0,9721.0,581.0,1
1.6450220297796462e+18,-648.0,9275.0,1020.0,1
1.6450220298327457e+18,112.0,10014.0,1296.0,1
1.6450220298780403e+18,917.0,9621.0,1663.0,1
1.6450220299330012e+18,1434.0,8901.0,504.0,1
1.6450220299839956e+18,1813.0,8186.0,-608.0,1
1.6450220300325645e+18,1821.0,7679.0,-961.0,1
1.645022030078697e+18,2129.0,8948.0,-1375.0,1
1.6450220301329352e+18,2530.0,8972.0,-3.0,1
1.645022030181396e+18,2576.0,8270.0,49.0,1
1.6450220302322575e+18,2777.0,7283.0,-32.0,1
1.6450220302830277e+18,2502.0,8008.0,922.0,1
1.6450220303336435e+18,2226.0,6078.0,615.0,1
1.645022030381551e+18,1667.0,5751.0,412.0,1
1.6450220304327352e+18,614.0,6053.0,269.0,1
