timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463912062885266e+18,1627.0,4905.0,-6282.0,frame_11936.jpeg
1.646391206339109e+18,1003.0,6170.0,-6116.0,frame_11937.jpeg
1.6463912063881247e+18,1760.0,6334.0,-4779.0,frame_11938.jpeg
1.6463912064434655e+18,3434.0,5714.0,-4869.0,frame_11939.jpeg
1.646390668514413e+18,-2008.0,2144.0,-7630.0,frame_1194.jpeg
1.6463912064881434e+18,3303.0,5694.0,-4623.0,frame_11940.jpeg
1.6463912065427535e+18,1335.0,5593.0,-4784.0,frame_11941.jpeg
1.6463912065936993e+18,2426.0,5878.0,-6582.0,frame_11942.jpeg
1.6463912066449859e+18,1684.0,5034.0,-5509.0,frame_11943.jpeg
1.6463912066885478e+18,1326.0,5445.0,-6023.0,frame_11944.jpeg
1.6463912067439176e+18,1141.0,5506.0,-6728.0,frame_11945.jpeg
1.6463912067879007e+18,2006.0,5113.0,-5216.0,frame_11946.jpeg
1.646391206844148e+18,2841.0,5227.0,-5883.0,frame_11947.jpeg
1.6463912068884864e+18,2231.0,5664.0,-5666.0,frame_11948.jpeg
1.6463912069418107e+18,1280.0,6290.0,-5633.0,frame_11949.jpeg
1.6463906685650058e+18,-1804.0,2441.0,-8343.0,frame_1195.jpeg
1.6463912069922048e+18,1147.0,6094.0,-5346.0,frame_11950.jpeg
1.646391207041582e+18,584.0,6486.0,-5326.0,frame_11951.jpeg
1.6463912070899356e+18,341.0,6692.0,-5239.0,frame_11952.jpeg
1.646391207138538e+18,-177.0,6501.0,-4635.0,frame_11953.jpeg
1.646391207195332e+18,373.0,6239.0,-4348.0,frame_11954.jpeg
1.6463912072423178e+18,1530.0,6381.0,-4744.0,frame_11955.jpeg
1.6463912072943654e+18,1276.0,6519.0,-5089.0,frame_11956.jpeg
1.646391207339418e+18,721.0,6404.0,-5033.0,frame_11957.jpeg
1.6463912073934477e+18,1529.0,6293.0,-5104.0,frame_11958.jpeg
1.6463912074401354e+18,2794.0,5755.0,-4821.0,frame_11959.jpeg
1.6463906686144724e+18,-841.0,1090.0,-7246.0,frame_1196.jpeg
1.6463912074930706e+18,2434.0,5499.0,-5313.0,frame_11960.jpeg
1.6463912075388086e+18,1257.0,5789.0,-5853.0,frame_11961.jpeg
1.646391207594233e+18,1225.0,5421.0,-5813.0,frame_11962.jpeg
1.6463912076427656e+18,1034.0,5305.0,-6023.0,frame_11963.jpeg
1.6463912076930772e+18,1343.0,5397.0,-6206.0,frame_11964.jpeg
1.646391207743454e+18,1157.0,5513.0,-6215.0,frame_11965.jpeg
1.6463912077942984e+18,1125.0,5562.0,-6134.0,frame_11966.jpeg
1.6463912078413484e+18,1005.0,5511.0,-5784.0,frame_11967.jpeg
1.6463912078921408e+18,1347.0,5468.0,-5638.0,frame_11968.jpeg
1.646391207948026e+18,1668.0,5428.0,-5544.0,frame_11969.jpeg
1.6463906686691917e+18,-1581.0,1145.0,-6801.0,frame_1197.jpeg
1.646391207993057e+18,1490.0,5378.0,-4981.0,frame_11970.jpeg
1.6463912080433818e+18,-520.0,5969.0,-5867.0,frame_11971.jpeg
1.6463912080939686e+18,332.0,5585.0,-6990.0,frame_11972.jpeg
1.6463912081400937e+18,3232.0,5199.0,-6290.0,frame_11973.jpeg
1.6463912081930696e+18,1429.0,6014.0,-5658.0,frame_11974.jpeg
1.646391208241163e+18,1374.0,5620.0,-5235.0,frame_11975.jpeg
