timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463941933114015e+18,7335.0,2520.0,2126.0,frame_6464.jpeg
1.6463941933635802e+18,7597.0,2523.0,2043.0,frame_6465.jpeg
1.646394193416746e+18,7870.0,2261.0,2013.0,frame_6466.jpeg
1.6463941934626258e+18,7561.0,2076.0,1948.0,frame_6467.jpeg
1.6463941935087757e+18,7626.0,2320.0,2086.0,frame_6468.jpeg
1.6463941935700296e+18,7452.0,2399.0,2354.0,frame_6469.jpeg
1.6463941936129475e+18,7104.0,2412.0,2836.0,frame_6470.jpeg
1.6463941936603802e+18,7386.0,2506.0,2682.0,frame_6471.jpeg
1.6463941937131418e+18,7552.0,2684.0,2273.0,frame_6472.jpeg
1.6463941937607493e+18,7235.0,2551.0,1851.0,frame_6473.jpeg
1.646394193835839e+18,7772.0,3347.0,2008.0,frame_6474.jpeg
1.6463941938720397e+18,7755.0,3199.0,1939.0,frame_6475.jpeg
1.6463941939189015e+18,7559.0,2169.0,1594.0,frame_6476.jpeg
1.6463941939607421e+18,7811.0,1991.0,1948.0,frame_6477.jpeg
1.646394194016568e+18,7526.0,2480.0,2403.0,frame_6478.jpeg
1.646394194063726e+18,7347.0,2560.0,2793.0,frame_6479.jpeg
1.646394194117495e+18,7273.0,2430.0,2539.0,frame_6480.jpeg
1.646394194161791e+18,7323.0,2798.0,2342.0,frame_6481.jpeg
1.6463941942093015e+18,7252.0,2697.0,2267.0,frame_6482.jpeg
1.6463941942666522e+18,7365.0,2679.0,2417.0,frame_6483.jpeg
1.6463941943198554e+18,7253.0,2996.0,3341.0,frame_6484.jpeg
1.6463941943638979e+18,6608.0,2749.0,3109.0,frame_6485.jpeg
1.646394194420724e+18,7206.0,2435.0,2605.0,frame_6486.jpeg
1.6463941944689777e+18,7324.0,2726.0,2402.0,frame_6487.jpeg
1.6463941945129341e+18,7630.0,2208.0,2266.0,frame_6488.jpeg
1.6463941945711334e+18,6966.0,2731.0,3049.0,frame_6489.jpeg
1.6463941946174374e+18,7078.0,2579.0,3142.0,frame_6490.jpeg
1.6463941946707249e+18,7074.0,2682.0,2835.0,frame_6491.jpeg
1.64639419471763e+18,7156.0,2719.0,2543.0,frame_6492.jpeg
1.646394194771204e+18,7476.0,2584.0,2867.0,frame_6493.jpeg
1.6463941948145836e+18,7492.0,2667.0,2980.0,frame_6494.jpeg
1.6463941948735137e+18,7363.0,2573.0,2654.0,frame_6495.jpeg
1.6463941949164275e+18,7434.0,2672.0,2748.0,frame_6496.jpeg
1.6463941949681687e+18,7421.0,2595.0,2611.0,frame_6497.jpeg
1.6463941950195315e+18,7335.0,2352.0,2232.0,frame_6498.jpeg
1.646394195068788e+18,7227.0,2744.0,2285.0,frame_6499.jpeg
1.646393872631027e+18,1286.0,7944.0,-1086.0,frame_65.jpeg
1.6463941951162944e+18,7064.0,2665.0,2304.0,frame_6500.jpeg
1.6463941951638157e+18,7261.0,3017.0,3007.0,frame_6501.jpeg
1.646394195219617e+18,7181.0,2382.0,2404.0,frame_6502.jpeg
1.6463941952671982e+18,7471.0,2721.0,1772.0,frame_6503.jpeg
1.6463941953170947e+18,7585.0,2484.0,2407.0,frame_6504.jpeg
1.646394195373544e+18,7197.0,2655.0,2365.0,frame_6505.jpeg
1.646394195416386e+18,6524.0,1646.0,1193.0,frame_6506.jpeg
1.6463941954691108e+18,7971.0,3117.0,2393.0,frame_6507.jpeg
1.6463941955178696e+18,7106.0,3440.0,4354.0,frame_6508.jpeg
1.6463941955672156e+18,7081.0,2262.0,2919.0,frame_6509.jpeg
1.6463941956172698e+18,7574.0,2467.0,1826.0,frame_6510.jpeg
1.6463941956700224e+18,7343.0,2434.0,2463.0,frame_6511.jpeg
1.6463941957159882e+18,7495.0,2429.0,2278.0,frame_6512.jpeg
1.646394195767032e+18,7560.0,2331.0,2193.0,frame_6513.jpeg
1.6463941958217702e+18,7326.0,2811.0,3144.0,frame_6514.jpeg
1.6463941958683656e+18,7045.0,2545.0,2603.0,frame_6515.jpeg
1.6463941959157745e+18,7269.0,2767.0,2296.0,frame_6516.jpeg
1.6463941959714314e+18,7354.0,2458.0,2372.0,frame_6517.jpeg
1.646394196022765e+18,7337.0,2467.0,2516.0,frame_6518.jpeg
1.6463941960699387e+18,7266.0,2835.0,2700.0,frame_6519.jpeg
1.646394196120473e+18,6061.0,1860.0,1850.0,frame_6520.jpeg
1.646394196167709e+18,7181.0,2166.0,1033.0,frame_6521.jpeg
1.6463941962234657e+18,6362.0,1919.0,4053.0,frame_6522.jpeg
1.6463941962671557e+18,7047.0,2382.0,3057.0,frame_6523.jpeg
1.6463941963208246e+18,7534.0,2648.0,2499.0,frame_6524.jpeg
1.6463941963674616e+18,7361.0,2515.0,2625.0,frame_6525.jpeg
1.6463941964224402e+18,7416.0,2449.0,2168.0,frame_6526.jpeg
1.646394196471612e+18,7531.0,2025.0,2100.0,frame_6527.jpeg
1.6463941965221192e+18,7135.0,2902.0,3473.0,frame_6528.jpeg
1.6463941965714808e+18,7150.0,2411.0,3338.0,frame_6529.jpeg
1.646394196623675e+18,7251.0,2283.0,2320.0,frame_6530.jpeg
1.646394196670145e+18,7185.0,2667.0,2492.0,frame_6531.jpeg
1.6463941967213806e+18,7484.0,2570.0,2213.0,frame_6532.jpeg
1.6463941967693804e+18,6977.0,2489.0,2224.0,frame_6533.jpeg
1.646394196825161e+18,7340.0,1818.0,1593.0,frame_6534.jpeg
1.6463941968698307e+18,7671.0,4643.0,4349.0,frame_6535.jpeg
1.6463941969244383e+18,6799.0,2390.0,3501.0,frame_6536.jpeg
1.6463941969700306e+18,6730.0,2080.0,2525.0,frame_6537.jpeg
1.646394197019505e+18,7593.0,2283.0,1886.0,frame_6538.jpeg
1.646394197068441e+18,7534.0,2110.0,2219.0,frame_6539.jpeg
1.646394197118319e+18,7531.0,2437.0,2380.0,frame_6540.jpeg
1.646394197167671e+18,7061.0,2406.0,3270.0,frame_6541.jpeg
1.6463941972228833e+18,7190.0,2388.0,2917.0,frame_6542.jpeg
1.6463941972716646e+18,7536.0,2270.0,2418.0,frame_6543.jpeg
1.6463941973169603e+18,6967.0,2588.0,2473.0,frame_6544.jpeg
1.646394197369055e+18,7178.0,2794.0,2588.0,frame_6545.jpeg
1.646394197421296e+18,7100.0,2828.0,2803.0,frame_6546.jpeg
1.6463941974699576e+18,5943.0,1812.0,1967.0,frame_6547.jpeg
1.6463941975165307e+18,7295.0,2989.0,2957.0,frame_6548.jpeg
1.6463941975677005e+18,6884.0,3227.0,5011.0,frame_6549.jpeg
1.6463941976258552e+18,5891.0,2919.0,5721.0,frame_6550.jpeg
1.6463941976662285e+18,5889.0,2948.0,4299.0,frame_6551.jpeg
1.646394197740825e+18,6701.0,3154.0,3277.0,frame_6552.jpeg
1.6463941977773135e+18,6825.0,3031.0,2725.0,frame_6553.jpeg
1.6463941978206684e+18,7367.0,3339.0,2114.0,frame_6554.jpeg
1.646394197887255e+18,7301.0,2654.0,3385.0,frame_6555.jpeg
1.646394197921716e+18,6508.0,3122.0,3865.0,frame_6556.jpeg
1.6463941979731156e+18,6832.0,2679.0,3534.0,frame_6557.jpeg
1.6463941980233103e+18,6837.0,3213.0,3710.0,frame_6558.jpeg
1.6463941980742643e+18,6313.0,3071.0,3033.0,frame_6559.jpeg
1.6463941981233505e+18,7703.0,4270.0,4095.0,frame_6560.jpeg
1.646394198173102e+18,7061.0,3278.0,2798.0,frame_6561.jpeg
1.646394198223245e+18,6283.0,3495.0,2566.0,frame_6562.jpeg
1.6463941982706988e+18,5824.0,4102.0,3691.0,frame_6563.jpeg
1.6463941983226097e+18,6271.0,2800.0,3269.0,frame_6564.jpeg
1.6463941983711063e+18,7965.0,1826.0,3514.0,frame_6565.jpeg
1.6463941984193108e+18,7398.0,2290.0,3648.0,frame_6566.jpeg
1.6463941984686077e+18,7199.0,2565.0,3216.0,frame_6567.jpeg
1.6463941985323272e+18,7169.0,2658.0,3183.0,frame_6568.jpeg
1.6463941985539108e+18,7187.0,2783.0,3167.0,frame_6569.jpeg
1.6463941986268193e+18,7181.0,3161.0,3232.0,frame_6570.jpeg
1.6463941986721288e+18,7177.0,3186.0,3256.0,frame_6571.jpeg
1.6463941987214188e+18,6905.0,3347.0,3129.0,frame_6572.jpeg
1.6463941987635195e+18,6679.0,3464.0,3177.0,frame_6573.jpeg
1.6463941988382615e+18,6654.0,3387.0,3148.0,frame_6574.jpeg
1.6463941988836508e+18,6702.0,3288.0,3117.0,frame_6575.jpeg
1.6463941989166715e+18,6889.0,3207.0,3064.0,frame_6576.jpeg
1.6463941989994588e+18,6926.0,3165.0,3026.0,frame_6577.jpeg
1.6463941990321661e+18,6810.0,3052.0,2971.0,frame_6578.jpeg
1.6463941991019474e+18,6685.0,2845.0,2912.0,frame_6579.jpeg
1.6463941991372296e+18,6667.0,2680.0,2843.0,frame_6580.jpeg
1.646394199195367e+18,6701.0,2579.0,2764.0,frame_6581.jpeg
1.646394199217028e+18,6722.0,2494.0,2675.0,frame_6582.jpeg
1.6463941992939423e+18,6916.0,2270.0,2660.0,frame_6583.jpeg
1.6463941993266289e+18,7038.0,2220.0,2698.0,frame_6584.jpeg
1.6463941993558285e+18,7076.0,2249.0,2753.0,frame_6585.jpeg
1.6463941994300915e+18,7049.0,2324.0,2822.0,frame_6586.jpeg
1.646394199507134e+18,7011.0,2382.0,2917.0,frame_6587.jpeg
1.6463941995350113e+18,6778.0,2875.0,3508.0,frame_6588.jpeg
1.6463941995877038e+18,6923.0,3520.0,4012.0,frame_6589.jpeg
1.6463941996272684e+18,6812.0,2377.0,3502.0,frame_6590.jpeg
1.6463941996663552e+18,6575.0,2213.0,3385.0,frame_6591.jpeg
1.646394199731811e+18,6620.0,2461.0,3404.0,frame_6592.jpeg
1.6463941997691144e+18,6740.0,2732.0,3485.0,frame_6593.jpeg
1.6463941998446147e+18,6722.0,3000.0,3530.0,frame_6594.jpeg
1.6463941998833075e+18,6676.0,3061.0,3576.0,frame_6595.jpeg
1.6463941999187233e+18,6741.0,3041.0,3613.0,frame_6596.jpeg
