timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6449326534257628e+18,-10106.0,-2674.0,-4583.0,1
1.6449326534973048e+18,-10160.0,-2981.0,-4459.0,1
1.6449326535339054e+18,-10055.0,-3200.0,-4366.0,1
1.6449326535756168e+18,-6866.0,-4234.0,-3988.0,1
1.644932653623164e+18,-5448.0,1800.0,-1993.0,1
1.644932653674078e+18,-6708.0,3162.0,-1968.0,1
1.6449326537203195e+18,-6124.0,5644.0,-1827.0,1
1.6449326537743885e+18,-7467.0,6891.0,-3206.0,1
1.6449326538205087e+18,-9222.0,6849.0,1127.0,1
1.6449326538756836e+18,-7366.0,2752.0,-1223.0,1
1.6449326539158362e+18,-9447.0,1611.0,-1628.0,1
1.6449326539738107e+18,-11701.0,4261.0,741.0,1
1.644932654024444e+18,-8485.0,4722.0,-759.0,1
1.64493265407088e+18,-8400.0,5252.0,-180.0,1
1.644932654138439e+18,-8277.0,5312.0,53.0,1
1.6449326541749207e+18,-10833.0,4742.0,1609.0,1
1.6449326542221586e+18,-9096.0,1483.0,-1258.0,1
1.644932654270483e+18,-5227.0,796.0,-299.0,1
1.6449326543235123e+18,-3375.0,3852.0,1448.0,1
1.6449326543770478e+18,-9177.0,5481.0,1102.0,1
1.6449326544233446e+18,-7861.0,4792.0,3503.0,1
1.6449326544731927e+18,1423.0,1006.0,204.0,1
1.644932654522538e+18,-3302.0,-2141.0,-7933.0,1
1.6449326545366316e+18,-4885.0,-4464.0,-7627.0,1
1.6449326546257738e+18,-4720.0,-4926.0,-7572.0,1
1.6449326546928463e+18,-4607.0,-5421.0,-7421.0,1
1.6449326546928463e+18,-4607.0,-5421.0,-7421.0,1
1.644932654774921e+18,-2462.0,-4484.0,-5364.0,1
1.6449326548282642e+18,-5989.0,1406.0,-2718.0,1
1.6449326548718973e+18,-6008.0,3075.0,-1917.0,1
1.644932654928028e+18,-6892.0,6437.0,-1781.0,1
1.6449326549624842e+18,-7389.0,7424.0,-2439.0,1
1.6449326550287332e+18,-1273.0,8757.0,-3354.0,1
1.6449326550731418e+18,-8301.0,5769.0,-3379.0,1
1.6449326551274742e+18,-8560.0,5255.0,-333.0,1
1.6449326551749358e+18,-10564.0,3952.0,-2512.0,1
1.6449326552198853e+18,-10841.0,2837.0,-4296.0,1
