timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6450220608701711e+18,-5549.0,331.0,-6071.0,1
1.6450220609218852e+18,-5532.0,360.0,-6158.0,1
1.6450220609681915e+18,-5534.0,338.0,-6176.0,1
1.6450220610216456e+18,-5566.0,237.0,-6196.0,1
1.645022061070688e+18,-5567.0,287.0,-6169.0,1
1.6450220611185175e+18,-5528.0,259.0,-6165.0,1
1.6450220611747715e+18,-5547.0,182.0,-6206.0,1
1.6450220612216046e+18,-5535.0,212.0,-6187.0,1
1.6450220612715745e+18,-5545.0,211.0,-6247.0,1
1.645022061323725e+18,-5536.0,192.0,-6223.0,1
1.6450220613764762e+18,-5518.0,255.0,-6232.0,1
1.6450220614176325e+18,-5589.0,302.0,-6102.0,1
1.6450220614705303e+18,-5497.0,292.0,-6137.0,1
1.6450220615240663e+18,-5577.0,242.0,-6284.0,1
1.6450220615725919e+18,-5516.0,307.0,-6137.0,1
1.6450220616226988e+18,-5538.0,307.0,-6170.0,1
1.6450220616714414e+18,-5604.0,325.0,-6159.0,1
1.6450220617209774e+18,-5490.0,464.0,-6066.0,1
1.6450220617717706e+18,-5591.0,394.0,-6124.0,1
1.6450220618204646e+18,-5546.0,339.0,-6082.0,1
1.6450220618698565e+18,-5544.0,307.0,-6127.0,1
1.64502206192256e+18,-5545.0,293.0,-6310.0,1
1.6450220619775066e+18,-5495.0,255.0,-6182.0,1
1.6450220620199032e+18,-5569.0,198.0,-6205.0,1
1.645022062069729e+18,-5551.0,254.0,-6141.0,1
1.6450220621199718e+18,-5552.0,295.0,-6199.0,1
1.6450220621712676e+18,-5567.0,274.0,-6167.0,1
1.6450220622205391e+18,-5487.0,253.0,-6160.0,1
1.645022062270786e+18,-5564.0,285.0,-6265.0,1
1.6450220623202724e+18,-5521.0,352.0,-6155.0,1
1.6450220623729257e+18,-5521.0,375.0,-6114.0,1
1.645022062421581e+18,-5637.0,364.0,-6187.0,1
1.6450220624709655e+18,-5513.0,417.0,-6028.0,1
1.6450220625202826e+18,-5577.0,408.0,-6192.0,1
1.6450220625720005e+18,-5561.0,376.0,-6093.0,1
1.645022062617476e+18,-5499.0,391.0,-6138.0,1
1.645022062672089e+18,-5576.0,412.0,-6159.0,1
1.645022062725822e+18,-5523.0,288.0,-6060.0,1
1.6450220627737124e+18,-5627.0,265.0,-6231.0,1
1.6450220628217626e+18,-5519.0,277.0,-6152.0,1
1.6450220628710636e+18,-5460.0,162.0,-6314.0,1
1.6450220629275254e+18,-5588.0,235.0,-6151.0,1
1.645022062972335e+18,-5515.0,195.0,-6109.0,1
1.645022063026607e+18,-5567.0,183.0,-6330.0,1
1.6450220630735918e+18,-5490.0,274.0,-6111.0,1
1.645022063125726e+18,-5545.0,128.0,-6168.0,1
1.6450220631730296e+18,-5556.0,106.0,-6341.0,1
1.645022063222068e+18,-5485.0,202.0,-6130.0,1
1.645022063273543e+18,-5563.0,208.0,-6229.0,1
1.6450220633259054e+18,-5521.0,146.0,-6153.0,1
1.645022063372976e+18,-5522.0,207.0,-6169.0,1
1.6450220634223314e+18,-5551.0,179.0,-6151.0,1
1.6450220634734438e+18,-5503.0,186.0,-6212.0,1
1.6450220635257856e+18,-5478.0,245.0,-6148.0,1
1.6450220635695877e+18,-5585.0,164.0,-6053.0,1
1.6450220636253315e+18,-5498.0,123.0,-6245.0,1
1.6450220636720788e+18,-5494.0,62.0,-6213.0,1
1.6450220637224868e+18,-5545.0,14.0,-6290.0,1
1.645022063773638e+18,-5463.0,32.0,-6192.0,1
1.6450220638260603e+18,-5393.0,-151.0,-6402.0,1
1.6450220638709402e+18,-5486.0,-50.0,-6314.0,1
1.6450220639232648e+18,-5488.0,7.0,-6178.0,1
1.6450220639720481e+18,-5390.0,-60.0,-6397.0,1
1.645022064026194e+18,-5423.0,-59.0,-6269.0,1
1.6450220640711729e+18,-5471.0,-23.0,-6164.0,1
1.6450220641256858e+18,-5492.0,-39.0,-6388.0,1
1.6450220641708232e+18,-5346.0,31.0,-6325.0,1
1.6450220642239224e+18,-5498.0,83.0,-6123.0,1
1.6450220642789998e+18,-5601.0,106.0,-6199.0,1
1.6450220643245025e+18,-5345.0,131.0,-6242.0,1
1.6450220643773967e+18,-5546.0,189.0,-6186.0,1
